CAMPANA,CODIGO_DEL_PRODUCTO,CANTIDADES_ESTIMADAS
201901,P00001,3562
201901,P00002,521
201901,P00003,4053
201901,P00004,16398
201901,P00005,2584
201901,P00006,1778
201901,P00007,2055
201901,P00008,3699
201901,P00009,2365
201901,P00010,1310
201901,P00011,1908
201901,P00012,5161
201901,P00013,15636
201901,P00014,4923
201901,P00015,1936
201901,P00016,2985
201901,P00017,4907
201901,P00018,15761
201901,P00019,7182
201901,P00020,4996
201901,P00021,1823
201901,P00022,2629
201901,P00023,8632
201901,P00024,4827
201901,P00025,2414
201901,P00026,3840
201901,P00027,1522
201901,P00028,913
201901,P00029,13362
201901,P00030,1701
201901,P00031,3907
201901,P00032,4846
201901,P00033,2535
201901,P00034,896
201901,P00035,11344
201901,P00036,4229
201901,P00037,10872
201901,P00038,4427
201901,P00039,18967
201901,P00040,9743
201901,P00041,1377
201901,P00042,1816
201901,P00043,4571
201901,P00044,1648
201901,P00045,7274
201901,P00046,6213
201901,P00047,4690
201901,P00048,7851
201901,P00049,3526
201901,P00050,18197
201901,P00051,4156
201901,P00052,2866
201901,P00053,1476
201901,P00054,5832
201901,P00055,3863
201901,P00056,2335
201901,P00057,4982
201901,P00058,14723
201901,P00059,6311
201901,P00060,7949
201901,P00061,2424
201901,P00062,21104
201901,P00063,818
201901,P00064,4086
201901,P00065,2266
201901,P00066,3165
201901,P00067,8476
201901,P00068,9790
201901,P00069,1391
201901,P00070,703
201901,P00071,3556
201901,P00072,10428
201901,P00073,4206
201901,P00074,21017
201901,P00075,6263
201901,P00076,32097
201901,P00077,7183
201901,P00078,3124
201901,P00079,5683
201901,P00080,1742
201901,P00081,12354
201901,P00082,671
201901,P00083,2880
201901,P00084,1201
201901,P00085,10250
201901,P00086,14442
201901,P00087,4773
201901,P00088,5664
201901,P00089,6004
201901,P00090,3530
201901,P00091,4699
201901,P00092,9337
201901,P00093,2727
201901,P00094,83
201901,P00095,4358
201901,P00096,11727
201901,P00097,2004
201901,P00098,23083
201901,P00099,6855
