CAMPANA,CODIGO_DEL_PRODUCTO,VENTA,VENTA_ZONA_101,VENTA_ZONA_102,VENTA_ZONA_103,VENTA_ZONA_104,VENTA_ZONA_107,VENTA_ZONA_109,VENTA_ZONA_110,VENTA_ZONA_111,VENTA_ZONA_112,VENTA_ZONA_115,VENTA_ZONA_116,VENTA_ZONA_119,NOMB_SUBGRUPO,TALLA,PRECIO_NAC
201902,P00845,25,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-XL,99900
201908,P03495,25,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-L,99900
201910,P04897,25,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-L,99900
201907,P03019,25,0,0,0,0,0,0,0,0,0,0,0,0,215 RE-FALDAS FEM,T-XS,99900
201903,P01075,25,0,0,0,0,0,0,0,0,0,0,0,0,216 RE-JEANS FEM,T-8,99900
201906,P02587,25,0,0,0,0,0,0,0,0,0,0,0,0,216 RE-JEANS FEM,T-6,99900
201908,P03805,25,0,0,0,0,0,0,0,0,0,25,0,0,216 RE-JEANS FEM,T-6,99900
201905,P01916,25,0,0,0,0,0,0,0,0,0,0,0,0,225 RE-VESTIDOS FEM,T-XS,99900
201912,P05765,25,0,0,0,0,0,0,0,0,0,0,0,0,225 RE-VESTIDOS FEM,T-M,99900
201904,P01759,32,32,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-M,99900
201906,P02638,32,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-XL,99900
201905,P02240,32,0,0,0,0,0,0,0,0,0,0,0,0,202 RE-BODYS FEM,T-S,99900
201908,P03911,32,0,0,32,0,0,0,0,0,0,0,0,0,204 RE-BUZOS FEM,T-L,99900
201902,P00640,32,0,0,0,0,0,0,32,0,0,0,0,0,206 RE-CAMISAS FEM,T-S,99900
201908,P03784,32,0,0,0,0,0,0,0,0,0,0,0,0,207 RE-CAMISETAS FEM,T-M,99900
201906,P02724,32,0,0,0,0,0,0,0,0,32,0,0,0,211 RE-CHAQUETAS FEM,T-XXL,99900
201911,P05114,32,0,0,0,0,0,0,0,0,0,0,0,0,211 RE-CHAQUETAS FEM,T-L,99900
201910,P04642,32,0,0,32,0,0,0,0,0,0,0,0,0,217 RE-JOGGERS FEM,T-10,99900
201903,P01086,32,0,0,0,0,0,0,0,0,0,0,0,0,225 RE-VESTIDOS FEM,T-XL,99900
201908,P03715,32,32,0,0,0,0,0,0,0,0,0,0,0,225 RE-VESTIDOS FEM,T-S,99900
201908,P03796,32,0,0,0,0,0,0,0,0,0,0,0,0,225 RE-VESTIDOS FEM,T-XL,99900
201909,P04026,32,0,0,0,0,0,0,0,0,0,0,32,0,225 RE-VESTIDOS FEM,T-M,99900
201911,P05244,32,0,0,0,0,0,0,0,0,0,0,0,0,225 RE-VESTIDOS FEM,T-S,99900
201902,P00667,38,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-S,99900
201903,P01059,38,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-M,99900
201904,P01708,38,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-M,99900
201907,P03016,38,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-L,99900
201908,P03683,38,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-XL,99900
201912,P05638,38,0,0,0,0,0,0,0,0,0,0,0,0,204 RE-BUZOS FEM,T-XL,99900
201906,P02588,38,0,0,0,0,0,38,0,0,0,0,0,0,207 RE-CAMISETAS FEM,T-L,99900
201907,P03059,38,0,0,0,0,0,0,0,0,0,0,0,0,207 RE-CAMISETAS FEM,T-M,99900
201903,P01313,38,0,0,0,0,0,0,0,0,0,0,0,0,216 RE-JEANS FEM,T-10,99900
201906,P02543,38,0,0,0,0,0,0,0,0,0,0,0,0,217 RE-JOGGERS FEM,T-M,99900
201911,P05078,38,0,0,0,0,0,0,0,0,0,0,0,0,217 RE-JOGGERS FEM,T-S,99900
201903,P01154,38,0,0,0,0,0,0,0,0,0,0,0,0,223 RE-SHORTS FEM,T-S,99900
201905,P02341,38,0,0,0,0,0,0,0,0,0,0,0,0,225 RE-VESTIDOS FEM,T-S,99900
201901,P00302,41,0,0,0,0,0,0,0,0,0,0,0,0,225 RE-VESTIDOS FEM,T-L,99900
201905,P01901,44,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-M,99900
201905,P02336,44,44,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-XL,99900
201904,P01441,44,0,0,0,0,0,0,0,0,0,0,0,0,204 RE-BUZOS FEM,T-S,99900
201906,P02904,44,0,0,0,0,0,0,0,0,44,0,0,0,209 RE-CAPRIS FEM,T-12,99900
201904,P01513,44,44,0,0,0,0,0,0,0,0,0,0,0,213 RE-CONJUNTOS FEM,T-XL,99900
201905,P02333,44,0,0,0,0,0,0,0,0,0,0,0,0,217 RE-JOGGERS FEM,T-M,99900
201907,P03187,44,0,0,0,0,0,0,0,0,0,0,0,0,217 RE-JOGGERS FEM,T-L,99900
201906,P02833,44,0,0,0,0,0,0,0,0,0,0,0,0,224 RE-SOBRETODOS FEM,T-XL,99900
201902,P00708,44,0,0,0,0,0,0,0,0,0,44,0,0,225 RE-VESTIDOS FEM,T-M,99900
201907,P03354,44,0,0,0,0,0,0,0,0,0,0,0,0,225 RE-VESTIDOS FEM,T-L,99900
201911,P05083,44,0,0,0,0,0,44,0,0,0,0,0,0,225 RE-VESTIDOS FEM,T-M,99900
201903,P01136,51,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-S,99900
201906,P02669,51,51,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-XL,99900
201907,P03006,51,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-XL,99900
201908,P03485,51,0,0,0,0,0,0,0,0,0,0,0,0,201 RE-BLUSAS FEM,T-M,99900
